"","Sigma","Type","M","Participant","Graph.Type","Error","Error..unsigned.","Index","Filepath","isValidation"
"528",0.05,"trig",0.8,"P6","line",-0.02,0.02,27,"img/trig/line/s0.05m0.8/",0
"529",0.1,"quad",0.2,"P6","area",0.06,0.06,28,"img/quad/area/s0.1m0.2/",0
"530",0.2,"line",-0.8,"P6","area",-0.12,0.12,29,"img/line/area/s0.2m-0.8/",0
"531",0.1,"trig",0.8,"P6","area",0.07,0.07,30,"img/trig/area/s0.1m0.8/",0
"532",0.1,"line",-0.2,"P6","line",-0.12,0.12,31,"img/line/line/s0.1m-0.2/",0
"533",0.15,"quad",-0.1,"P6","area",-0.06,0.06,32,"img/quad/area/s0.15m-0.1/",0
"534",0.2,"trig",0.4,"P6","scatter",0.09,0.09,33,"img/trig/scatter/s0.2m0.4/",0
"535",0.05,"quad",0.2,"P6","line",-0.06,0.06,34,"img/quad/line/s0.05m0.2/",0
"536",0.15,"line",-0.4,"P6","area",-0.04,0.04,35,"img/line/area/s0.15m-0.4/",0
"537",0.1,"trig",0.4,"P6","area",0.16,0.16,36,"img/trig/area/s0.1m0.4/",0
"538",0.1,"line",0.4,"P6","line",-0.03,0.03,37,"img/line/line/s0.1m0.4/",0
"539",0.01,"line",-0.4,"P6","area",0.08,0.08,38,"img_validation/line/area/s0.1m-0.4/",1
"540",0.15,"quad",-0.8,"P6","scatter",0.04,0.04,39,"img/quad/scatter/s0.15m-0.8/",0
"541",0.05,"trig",-0.4,"P6","scatter",-0.02,0.02,40,"img/trig/scatter/s0.05m-0.4/",0
"542",0.2,"quad",-0.2,"P6","area",-0.15,0.15,41,"img/quad/area/s0.2m-0.2/",0
"543",0.2,"line",0.8,"P6","scatter",-0.16,0.16,42,"img/line/scatter/s0.2m0.8/",0
"544",0.15,"trig",0.2,"P6","area",0.1,0.1,43,"img/trig/area/s0.15m0.2/",0
"545",0.2,"line",0.4,"P6","line",-0.17,0.17,44,"img/line/line/s0.2m0.4/",0
"546",0.15,"quad",0.1,"P6","line",-0.1,0.1,45,"img/quad/line/s0.15m0.1/",0
"547",0.2,"trig",0.8,"P6","line",0.26,0.26,46,"img/trig/line/s0.2m0.8/",0
"548",0.15,"quad",0.4,"P6","line",0.01,0.01,47,"img/quad/line/s0.15m0.4/",0
"549",0.05,"line",-0.8,"P6","scatter",0.01,0.01,48,"img/line/scatter/s0.05m-0.8/",0
"550",0.05,"trig",-0.4,"P6","area",0.01,0.01,49,"img/trig/area/s0.05m-0.4/",0
"551",0.1,"line",-0.2,"P6","scatter",-0.15,0.15,50,"img/line/scatter/s0.1m-0.2/",0
"552",0.15,"quad",0.8,"P6","area",-0.22,0.22,51,"img/quad/area/s0.15m0.8/",0
"553",0.2,"trig",0.1,"P6","line",-0.19,0.19,52,"img/trig/line/s0.2m0.1/",0
"554",0.1,"quad",-0.8,"P6","scatter",-0.1,0.1,53,"img/quad/scatter/s0.1m-0.8/",0
"555",0.2,"line",-0.8,"P6","line",-0.02,0.02,54,"img/line/line/s0.2m-0.8/",0
"556",0.2,"trig",0.1,"P6","area",0.14,0.14,55,"img/trig/area/s0.2m0.1/",0
"557",0.05,"line",-0.2,"P6","area",0.01,0.01,56,"img/line/area/s0.05m-0.2/",0
"558",0.05,"line",-0.2,"P6","area",0.03,0.03,57,"img_validation/line/area/s0.05m-0.2/",1
"559",0.2,"quad",-0.2,"P6","scatter",-0.08,0.08,58,"img/quad/scatter/s0.2m-0.2/",0
"560",0.1,"trig",-0.4,"P6","scatter",0.14,0.14,59,"img/trig/scatter/s0.1m-0.4/",0
"561",0.2,"quad",0.8,"P6","area",-0.12,0.12,60,"img/quad/area/s0.2m0.8/",0
"562",0.15,"line",-0.2,"P6","scatter",-0.01,0.01,61,"img/line/scatter/s0.15m-0.2/",0
"563",0.1,"trig",-0.8,"P6","line",-0.07,0.07,62,"img/trig/line/s0.1m-0.8/",0
"564",0.1,"line",0.2,"P6","line",-0.1,0.1,63,"img/line/line/s0.1m0.2/",0
"565",0.1,"quad",-0.8,"P6","area",-0.08,0.08,64,"img/quad/area/s0.1m-0.8/",0
"566",0.05,"trig",-0.4,"P6","line",0,0,65,"img/trig/line/s0.05m-0.4/",0
"567",0.05,"quad",-0.1,"P6","scatter",-0.02,0.02,66,"img/quad/scatter/s0.05m-0.1/",0
"568",0.1,"line",-0.1,"P6","scatter",-0.09,0.09,67,"img/line/scatter/s0.1m-0.1/",0
"569",0.15,"trig",0.2,"P6","line",-0.02,0.02,68,"img/trig/line/s0.15m0.2/",0
"570",0.05,"line",0.4,"P6","area",0.02,0.02,69,"img/line/area/s0.05m0.4/",0
"571",0.15,"quad",0.8,"P6","scatter",0.3,0.3,70,"img/quad/scatter/s0.15m0.8/",0
"572",0.1,"trig",-0.4,"P6","line",-0.06,0.06,71,"img/trig/line/s0.1m-0.4/",0
"573",0.15,"quad",-0.4,"P6","line",-0.02,0.02,72,"img/quad/line/s0.15m-0.4/",0
"574",0.1,"line",-0.4,"P6","area",-0.14,0.14,73,"img/line/area/s0.1m-0.4/",0
"575",0.2,"trig",0.2,"P6","area",-0.04,0.04,74,"img/trig/area/s0.2m0.2/",0
"576",0.15,"line",0.1,"P6","area",0.19,0.19,75,"img/line/area/s0.15m0.1/",0
"577",0.02,"line",0.8,"P6","area",0.05,0.05,76,"img_validation/line/area/s0.2m0.8/",1
"578",0.2,"quad",-0.4,"P6","area",-0.01,0.01,77,"img/quad/area/s0.2m-0.4/",0
"579",0.1,"trig",0.8,"P6","line",0.18,0.18,78,"img/trig/line/s0.1m0.8/",0
"580",0.15,"quad",0.1,"P6","scatter",0.05,0.05,79,"img/quad/scatter/s0.15m0.1/",0
"581",0.2,"line",0.1,"P6","scatter",0.15,0.15,80,"img/line/scatter/s0.2m0.1/",0
"582",0.2,"trig",-0.1,"P6","scatter",0.08,0.08,81,"img/trig/scatter/s0.2m-0.1/",0
"583",0.05,"line",-0.2,"P6","scatter",-0.02,0.02,82,"img/line/scatter/s0.05m-0.2/",0
"584",0.15,"quad",-0.1,"P6","line",0.23,0.23,83,"img/quad/line/s0.15m-0.1/",0
"585",0.05,"trig",0.4,"P6","line",-0.01,0.01,84,"img/trig/line/s0.05m0.4/",0
"586",0.15,"quad",-0.2,"P6","area",0.02,0.02,85,"img/quad/area/s0.15m-0.2/",0
"587",0.05,"line",-0.2,"P6","line",-0.03,0.03,86,"img/line/line/s0.05m-0.2/",0
"588",0.05,"trig",0.4,"P6","scatter",0.01,0.01,87,"img/trig/scatter/s0.05m0.4/",0
"589",0.15,"line",-0.1,"P6","scatter",-0.06,0.06,88,"img/line/scatter/s0.15m-0.1/",0
"590",0.15,"quad",0.8,"P6","line",-0.12,0.12,89,"img/quad/line/s0.15m0.8/",0
"591",0.1,"trig",0.4,"P6","scatter",-0.03,0.03,90,"img/trig/scatter/s0.1m0.4/",0
"592",0.15,"quad",0.4,"P6","area",0.18,0.18,91,"img/quad/area/s0.15m0.4/",0
"593",0.05,"line",0.8,"P6","area",0.16,0.16,92,"img/line/area/s0.05m0.8/",0
"594",0.15,"trig",-0.4,"P6","scatter",0.04,0.04,93,"img/trig/scatter/s0.15m-0.4/",0
"595",0.2,"line",0.4,"P6","area",0.06,0.06,94,"img/line/area/s0.2m0.4/",0
"596",0.1,"quad",0.1,"P6","scatter",0.15,0.15,95,"img/quad/scatter/s0.1m0.1/",0
"597",0.05,"trig",0.1,"P6","area",0.15,0.15,96,"img/trig/area/s0.05m0.1/",0
"598",0.15,"quad",-0.2,"P6","line",0.01,0.01,97,"img/quad/line/s0.15m-0.2/",0
"599",0.2,"line",0.2,"P6","line",0.1,0.1,98,"img/line/line/s0.2m0.2/",0
"600",0.2,"trig",-0.4,"P6","scatter",0.1,0.1,99,"img/trig/scatter/s0.2m-0.4/",0
"601",0.05,"trig",-0.8,"P7","line",0.01,0.01,0,"img/trig/line/s0.05m-0.8/",0
"602",0.05,"line",0.2,"P7","area",0,0,1,"img/line/area/s0.05m0.2/",0
"603",0.1,"quad",-0.1,"P7","area",-0.01,0.01,2,"img/quad/area/s0.1m-0.1/",0
"604",0.05,"line",-0.1,"P7","area",-0.02,0.02,3,"img/line/area/s0.05m-0.1/",0
"605",0.1,"trig",0.1,"P7","line",0.09,0.09,4,"img/trig/line/s0.1m0.1/",0
"606",0.15,"quad",0.2,"P7","scatter",-0.01,0.01,5,"img/quad/scatter/s0.15m0.2/",0
"607",0.2,"trig",-0.1,"P7","area",-0.07,0.07,6,"img/trig/area/s0.2m-0.1/",0
"608",0.2,"line",0.2,"P7","scatter",0.04,0.04,7,"img/line/scatter/s0.2m0.2/",0
"609",0.05,"quad",0.1,"P7","scatter",-0.02,0.02,8,"img/quad/scatter/s0.05m0.1/",0
"610",0.05,"line",-0.1,"P7","line",0.01,0.01,9,"img/line/line/s0.05m-0.1/",0
"611",0.05,"trig",0.1,"P7","line",-0.01,0.01,10,"img/trig/line/s0.05m0.1/",0
"612",0.15,"quad",0.4,"P7","scatter",0.1,0.1,11,"img/quad/scatter/s0.15m0.4/",0
"613",0.2,"trig",-0.1,"P7","line",0.03,0.03,12,"img/trig/line/s0.2m-0.1/",0
"614",0.1,"line",0.1,"P7","area",0,0,13,"img/line/area/s0.1m0.1/",0
"615",0.1,"quad",-0.2,"P7","area",0,0,14,"img/quad/area/s0.1m-0.2/",0
"616",0.2,"line",-0.4,"P7","line",-0.01,0.01,15,"img/line/line/s0.2m-0.4/",0
"617",0.2,"trig",-0.2,"P7","line",0.05,0.05,16,"img/trig/line/s0.2m-0.2/",0
"618",0.05,"quad",0.2,"P7","scatter",-0.02,0.02,17,"img/quad/scatter/s0.05m0.2/",0
"619",0.1,"trig",-0.1,"P7","line",-0.03,0.03,18,"img/trig/line/s0.1m-0.1/",0
"620",0.02,"line",0.8,"P7","area",0,0,19,"img_validation/line/area/s0.2m0.8/",1
"621",0.1,"line",0.2,"P7","scatter",0.01,0.01,20,"img/line/scatter/s0.1m0.2/",0
"622",0.2,"quad",-0.8,"P7","scatter",-0.05,0.05,21,"img/quad/scatter/s0.2m-0.8/",0
"623",0.15,"line",-0.8,"P7","line",0.05,0.05,22,"img/line/line/s0.15m-0.8/",0
"624",0.05,"trig",0.8,"P7","scatter",-0.01,0.01,23,"img/trig/scatter/s0.05m0.8/",0
"625",0.05,"quad",-0.8,"P7","area",0.02,0.02,24,"img/quad/area/s0.05m-0.8/",0
"626",0.15,"trig",-0.8,"P7","area",0.1,0.1,25,"img/trig/area/s0.15m-0.8/",0
"627",0.1,"line",0.8,"P7","scatter",-0.05,0.05,26,"img/line/scatter/s0.1m0.8/",0
"628",0.05,"quad",0.8,"P7","line",0.04,0.04,27,"img/quad/line/s0.05m0.8/",0
"629",0.1,"line",0.2,"P7","area",-0.01,0.01,28,"img/line/area/s0.1m0.2/",0
"630",0.2,"trig",-0.8,"P7","area",-0.07,0.07,29,"img/trig/area/s0.2m-0.8/",0
"631",0.1,"quad",0.8,"P7","area",0.04,0.04,30,"img/quad/area/s0.1m0.8/",0
"632",0.1,"trig",-0.2,"P7","line",-0.16,0.16,31,"img/trig/line/s0.1m-0.2/",0
"633",0.15,"line",-0.1,"P7","area",-0.02,0.02,32,"img/line/area/s0.15m-0.1/",0
"634",0.2,"quad",0.4,"P7","scatter",-0.09,0.09,33,"img/quad/scatter/s0.2m0.4/",0
"635",0.05,"line",0.2,"P7","line",0.07,0.07,34,"img/line/line/s0.05m0.2/",0
"636",0.15,"trig",-0.4,"P7","area",-0.08,0.08,35,"img/trig/area/s0.15m-0.4/",0
"637",0.1,"quad",0.4,"P7","area",0.06,0.06,36,"img/quad/area/s0.1m0.4/",0
"638",0.1,"trig",0.4,"P7","line",0.03,0.03,37,"img/trig/line/s0.1m0.4/",0
"639",0.02,"line",0.8,"P7","area",0,0,38,"img_validation/line/area/s0.2m0.8/",1
"640",0.15,"line",-0.8,"P7","scatter",0.01,0.01,39,"img/line/scatter/s0.15m-0.8/",0
"641",0.05,"quad",-0.4,"P7","scatter",-0.02,0.02,40,"img/quad/scatter/s0.05m-0.4/",0
"642",0.2,"line",-0.2,"P7","area",-0.03,0.03,41,"img/line/area/s0.2m-0.2/",0
"643",0.2,"trig",0.8,"P7","scatter",-0.03,0.03,42,"img/trig/scatter/s0.2m0.8/",0
"644",0.15,"quad",0.2,"P7","area",0.03,0.03,43,"img/quad/area/s0.15m0.2/",0
"645",0.2,"trig",0.4,"P7","line",0.11,0.11,44,"img/trig/line/s0.2m0.4/",0
"646",0.15,"line",0.1,"P7","line",-0.01,0.01,45,"img/line/line/s0.15m0.1/",0
"647",0.2,"quad",0.8,"P7","line",-0.02,0.02,46,"img/quad/line/s0.2m0.8/",0
"648",0.15,"line",0.4,"P7","line",-0.13,0.13,47,"img/line/line/s0.15m0.4/",0
"649",0.05,"trig",-0.8,"P7","scatter",-0.02,0.02,48,"img/trig/scatter/s0.05m-0.8/",0
"650",0.05,"quad",-0.4,"P7","area",0.03,0.03,49,"img/quad/area/s0.05m-0.4/",0
"651",0.1,"trig",-0.2,"P7","scatter",-0.1,0.1,50,"img/trig/scatter/s0.1m-0.2/",0
"652",0.15,"line",0.8,"P7","area",-0.04,0.04,51,"img/line/area/s0.15m0.8/",0
"653",0.2,"quad",0.1,"P7","line",0.03,0.03,52,"img/quad/line/s0.2m0.1/",0
"654",0.1,"line",-0.8,"P7","scatter",-0.06,0.06,53,"img/line/scatter/s0.1m-0.8/",0
"655",0.2,"trig",-0.8,"P7","line",-0.07,0.07,54,"img/trig/line/s0.2m-0.8/",0
"656",0.2,"quad",0.1,"P7","area",0.05,0.05,55,"img/quad/area/s0.2m0.1/",0
"657",0.05,"trig",-0.2,"P7","area",0.03,0.03,56,"img/trig/area/s0.05m-0.2/",0
"658",0.05,"line",-0.2,"P7","area",0,0,57,"img_validation/line/area/s0.05m-0.2/",1
"659",0.2,"line",-0.2,"P7","scatter",-0.07,0.07,58,"img/line/scatter/s0.2m-0.2/",0
"660",0.1,"quad",-0.4,"P7","scatter",0,0,59,"img/quad/scatter/s0.1m-0.4/",0
"661",0.2,"line",0.8,"P7","area",-0.19,0.19,60,"img/line/area/s0.2m0.8/",0
"662",0.15,"trig",-0.2,"P7","scatter",-0.08,0.08,61,"img/trig/scatter/s0.15m-0.2/",0
"663",0.1,"quad",-0.8,"P7","line",-0.06,0.06,62,"img/quad/line/s0.1m-0.8/",0
"664",0.1,"trig",0.2,"P7","line",0.08,0.08,63,"img/trig/line/s0.1m0.2/",0
"665",0.1,"line",-0.8,"P7","area",-0.09,0.09,64,"img/line/area/s0.1m-0.8/",0
"666",0.05,"quad",-0.4,"P7","line",-0.05,0.05,65,"img/quad/line/s0.05m-0.4/",0
"667",0.05,"line",-0.1,"P7","scatter",0.05,0.05,66,"img/line/scatter/s0.05m-0.1/",0
"668",0.1,"trig",-0.1,"P7","scatter",-0.02,0.02,67,"img/trig/scatter/s0.1m-0.1/",0
"669",0.15,"quad",0.2,"P7","line",-0.03,0.03,68,"img/quad/line/s0.15m0.2/",0
"670",0.05,"trig",0.4,"P7","area",0.01,0.01,69,"img/trig/area/s0.05m0.4/",0
"671",0.15,"line",0.8,"P7","scatter",-0.07,0.07,70,"img/line/scatter/s0.15m0.8/",0
"672",0.1,"quad",-0.4,"P7","line",-0.01,0.01,71,"img/quad/line/s0.1m-0.4/",0
"673",0.15,"line",-0.4,"P7","line",0.08,0.08,72,"img/line/line/s0.15m-0.4/",0
"674",0.1,"trig",-0.4,"P7","area",-0.02,0.02,73,"img/trig/area/s0.1m-0.4/",0
"675",0.2,"quad",0.2,"P7","area",0.18,0.18,74,"img/quad/area/s0.2m0.2/",0
"676",0.15,"trig",0.1,"P7","area",-0.01,0.01,75,"img/trig/area/s0.15m0.1/",0
"677",0.02,"line",0.8,"P7","area",0,0,76,"img_validation/line/area/s0.2m0.8/",1
"678",0.2,"line",-0.4,"P7","area",-0.04,0.04,77,"img/line/area/s0.2m-0.4/",0
"679",0.1,"quad",0.8,"P7","line",0.07,0.07,78,"img/quad/line/s0.1m0.8/",0
"680",0.15,"line",0.1,"P7","scatter",-0.01,0.01,79,"img/line/scatter/s0.15m0.1/",0
"681",0.2,"trig",0.1,"P7","scatter",0.01,0.01,80,"img/trig/scatter/s0.2m0.1/",0
"682",0.2,"quad",-0.1,"P7","scatter",-0.01,0.01,81,"img/quad/scatter/s0.2m-0.1/",0
"683",0.05,"trig",-0.2,"P7","scatter",0,0,82,"img/trig/scatter/s0.05m-0.2/",0
"684",0.15,"line",-0.1,"P7","line",0,0,83,"img/line/line/s0.15m-0.1/",0
"685",0.05,"quad",0.4,"P7","line",0.06,0.06,84,"img/quad/line/s0.05m0.4/",0
"686",0.15,"line",-0.2,"P7","area",0.11,0.11,85,"img/line/area/s0.15m-0.2/",0
"687",0.05,"trig",-0.2,"P7","line",-0.07,0.07,86,"img/trig/line/s0.05m-0.2/",0
"688",0.05,"quad",0.4,"P7","scatter",0.03,0.03,87,"img/quad/scatter/s0.05m0.4/",0
"689",0.15,"trig",-0.1,"P7","scatter",-0.13,0.13,88,"img/trig/scatter/s0.15m-0.1/",0
"690",0.15,"line",0.8,"P7","line",0.03,0.03,89,"img/line/line/s0.15m0.8/",0
"691",0.1,"quad",0.4,"P7","scatter",0.01,0.01,90,"img/quad/scatter/s0.1m0.4/",0
"692",0.15,"line",0.4,"P7","area",-0.01,0.01,91,"img/line/area/s0.15m0.4/",0
"693",0.05,"trig",0.8,"P7","area",0.01,0.01,92,"img/trig/area/s0.05m0.8/",0
"694",0.15,"quad",-0.4,"P7","scatter",-0.1,0.1,93,"img/quad/scatter/s0.15m-0.4/",0
"695",0.2,"trig",0.4,"P7","area",0.09,0.09,94,"img/trig/area/s0.2m0.4/",0
"696",0.1,"line",0.1,"P7","scatter",0.04,0.04,95,"img/line/scatter/s0.1m0.1/",0
"697",0.05,"quad",0.1,"P7","area",-0.02,0.02,96,"img/quad/area/s0.05m0.1/",0
"698",0.15,"line",-0.2,"P7","line",0.04,0.04,97,"img/line/line/s0.15m-0.2/",0
"699",0.2,"trig",0.2,"P7","line",-0.1,0.1,98,"img/trig/line/s0.2m0.2/",0
"700",0.2,"quad",-0.4,"P7","scatter",0.18,0.18,99,"img/quad/scatter/s0.2m-0.4/",0
"701",0.05,"quad",-0.8,"P8","line",-0.03,0.03,0,"img/quad/line/s0.05m-0.8/",0
"702",0.05,"trig",0.2,"P8","area",0.08,0.08,1,"img/trig/area/s0.05m0.2/",0
"703",0.1,"line",-0.1,"P8","area",-0.04,0.04,2,"img/line/area/s0.1m-0.1/",0
"704",0.05,"trig",-0.1,"P8","area",-0.04,0.04,3,"img/trig/area/s0.05m-0.1/",0
"705",0.1,"quad",0.1,"P8","line",0.06,0.06,4,"img/quad/line/s0.1m0.1/",0
"706",0.15,"line",0.2,"P8","scatter",0.22,0.22,5,"img/line/scatter/s0.15m0.2/",0
"707",0.2,"quad",-0.1,"P8","area",0.11,0.11,6,"img/quad/area/s0.2m-0.1/",0
"708",0.2,"trig",0.2,"P8","scatter",0.16,0.16,7,"img/trig/scatter/s0.2m0.2/",0
"709",0.05,"line",0.1,"P8","scatter",0.06,0.06,8,"img/line/scatter/s0.05m0.1/",0
"710",0.05,"trig",-0.1,"P8","line",-0.03,0.03,9,"img/trig/line/s0.05m-0.1/",0
"711",0.05,"quad",0.1,"P8","line",0.02,0.02,10,"img/quad/line/s0.05m0.1/",0
"712",0.15,"line",0.4,"P8","scatter",0.35,0.35,11,"img/line/scatter/s0.15m0.4/",0
"713",0.2,"quad",-0.1,"P8","line",0.06,0.06,12,"img/quad/line/s0.2m-0.1/",0
"714",0.1,"trig",0.1,"P8","area",0.28,0.28,13,"img/trig/area/s0.1m0.1/",0
"715",0.1,"line",-0.2,"P8","area",-0.02,0.02,14,"img/line/area/s0.1m-0.2/",0
"716",0.2,"trig",-0.4,"P8","line",-0.07,0.07,15,"img/trig/line/s0.2m-0.4/",0
"717",0.2,"quad",-0.2,"P8","line",-0.21,0.21,16,"img/quad/line/s0.2m-0.2/",0
"718",0.05,"line",0.2,"P8","scatter",0.03,0.03,17,"img/line/scatter/s0.05m0.2/",0
"719",0.1,"quad",-0.1,"P8","line",0.02,0.02,18,"img/quad/line/s0.1m-0.1/",0
"720",0.01,"line",-0.4,"P8","area",0,0,19,"img_validation/line/area/s0.1m-0.4/",1
"721",0.1,"trig",0.2,"P8","scatter",0.04,0.04,20,"img/trig/scatter/s0.1m0.2/",0
"722",0.2,"line",-0.8,"P8","scatter",-0.09,0.09,21,"img/line/scatter/s0.2m-0.8/",0
"723",0.15,"trig",-0.8,"P8","line",-0.28,0.28,22,"img/trig/line/s0.15m-0.8/",0
"724",0.05,"quad",0.8,"P8","scatter",0,0,23,"img/quad/scatter/s0.05m0.8/",0
"725",0.05,"line",-0.8,"P8","area",-0.06,0.06,24,"img/line/area/s0.05m-0.8/",0
"726",0.15,"quad",-0.8,"P8","area",-0.05,0.05,25,"img/quad/area/s0.15m-0.8/",0
"727",0.1,"trig",0.8,"P8","scatter",0.03,0.03,26,"img/trig/scatter/s0.1m0.8/",0
"728",0.05,"line",0.8,"P8","line",0,0,27,"img/line/line/s0.05m0.8/",0
"729",0.1,"trig",0.2,"P8","area",0.07,0.07,28,"img/trig/area/s0.1m0.2/",0
"730",0.2,"quad",-0.8,"P8","area",-0.07,0.07,29,"img/quad/area/s0.2m-0.8/",0
"731",0.1,"line",0.8,"P8","area",0.07,0.07,30,"img/line/area/s0.1m0.8/",0
"732",0.1,"quad",-0.2,"P8","line",-0.09,0.09,31,"img/quad/line/s0.1m-0.2/",0
"733",0.15,"trig",-0.1,"P8","area",-0.1,0.1,32,"img/trig/area/s0.15m-0.1/",0
"734",0.2,"line",0.4,"P8","scatter",0.06,0.06,33,"img/line/scatter/s0.2m0.4/",0
"735",0.05,"trig",0.2,"P8","line",0.09,0.09,34,"img/trig/line/s0.05m0.2/",0
"736",0.15,"quad",-0.4,"P8","area",-0.04,0.04,35,"img/quad/area/s0.15m-0.4/",0
"737",0.1,"line",0.4,"P8","area",0.06,0.06,36,"img/line/area/s0.1m0.4/",0
"738",0.1,"quad",0.4,"P8","line",0.06,0.06,37,"img/quad/line/s0.1m0.4/",0
"739",0.05,"line",-0.2,"P8","area",0,0,38,"img_validation/line/area/s0.05m-0.2/",1
"740",0.15,"trig",-0.8,"P8","scatter",-0.04,0.04,39,"img/trig/scatter/s0.15m-0.8/",0
"741",0.05,"line",-0.4,"P8","scatter",0,0,40,"img/line/scatter/s0.05m-0.4/",0
"742",0.2,"trig",-0.2,"P8","area",-0.03,0.03,41,"img/trig/area/s0.2m-0.2/",0
"743",0.2,"quad",0.8,"P8","scatter",0.11,0.11,42,"img/quad/scatter/s0.2m0.8/",0
"744",0.15,"line",0.2,"P8","area",0.13,0.13,43,"img/line/area/s0.15m0.2/",0
"745",0.2,"quad",0.4,"P8","line",0.26,0.26,44,"img/quad/line/s0.2m0.4/",0
"746",0.15,"trig",0.1,"P8","line",0.14,0.14,45,"img/trig/line/s0.15m0.1/",0
"747",0.2,"line",0.8,"P8","line",0.09,0.09,46,"img/line/line/s0.2m0.8/",0
"748",0.15,"trig",0.4,"P8","line",0.04,0.04,47,"img/trig/line/s0.15m0.4/",0
"749",0.05,"quad",-0.8,"P8","scatter",-0.04,0.04,48,"img/quad/scatter/s0.05m-0.8/",0
"750",0.05,"line",-0.4,"P8","area",0.03,0.03,49,"img/line/area/s0.05m-0.4/",0
"751",0.1,"quad",-0.2,"P8","scatter",-0.05,0.05,50,"img/quad/scatter/s0.1m-0.2/",0
"752",0.15,"trig",0.8,"P8","area",0.11,0.11,51,"img/trig/area/s0.15m0.8/",0
"753",0.2,"line",0.1,"P8","line",0.12,0.12,52,"img/line/line/s0.2m0.1/",0
"754",0.1,"trig",-0.8,"P8","scatter",-0.08,0.08,53,"img/trig/scatter/s0.1m-0.8/",0
"755",0.2,"quad",-0.8,"P8","line",0.11,0.11,54,"img/quad/line/s0.2m-0.8/",0
"756",0.2,"line",0.1,"P8","area",0.04,0.04,55,"img/line/area/s0.2m0.1/",0
"757",0.05,"quad",-0.2,"P8","area",-0.04,0.04,56,"img/quad/area/s0.05m-0.2/",0
"758",0.01,"line",-0.4,"P8","area",0,0,57,"img_validation/line/area/s0.1m-0.4/",1
"759",0.2,"trig",-0.2,"P8","scatter",-0.21,0.21,58,"img/trig/scatter/s0.2m-0.2/",0
"760",0.1,"line",-0.4,"P8","scatter",-0.15,0.15,59,"img/line/scatter/s0.1m-0.4/",0
"761",0.2,"trig",0.8,"P8","area",0.11,0.11,60,"img/trig/area/s0.2m0.8/",0
"762",0.15,"quad",-0.2,"P8","scatter",-0.27,0.27,61,"img/quad/scatter/s0.15m-0.2/",0
"763",0.1,"line",-0.8,"P8","line",-0.04,0.04,62,"img/line/line/s0.1m-0.8/",0
"764",0.1,"quad",0.2,"P8","line",0.08,0.08,63,"img/quad/line/s0.1m0.2/",0
"765",0.1,"trig",-0.8,"P8","area",-0.03,0.03,64,"img/trig/area/s0.1m-0.8/",0
"766",0.05,"line",-0.4,"P8","line",-0.01,0.01,65,"img/line/line/s0.05m-0.4/",0
"767",0.05,"trig",-0.1,"P8","scatter",-0.04,0.04,66,"img/trig/scatter/s0.05m-0.1/",0
"768",0.1,"quad",-0.1,"P8","scatter",-0.09,0.09,67,"img/quad/scatter/s0.1m-0.1/",0
"769",0.15,"line",0.2,"P8","line",0.13,0.13,68,"img/line/line/s0.15m0.2/",0
"770",0.05,"quad",0.4,"P8","area",0.05,0.05,69,"img/quad/area/s0.05m0.4/",0
"771",0.15,"trig",0.8,"P8","scatter",0.06,0.06,70,"img/trig/scatter/s0.15m0.8/",0
"772",0.1,"line",-0.4,"P8","line",-0.1,0.1,71,"img/line/line/s0.1m-0.4/",0
"773",0.15,"trig",-0.4,"P8","line",-0.11,0.11,72,"img/trig/line/s0.15m-0.4/",0
"774",0.1,"quad",-0.4,"P8","area",-0.03,0.03,73,"img/quad/area/s0.1m-0.4/",0
"775",0.2,"line",0.2,"P8","area",0.15,0.15,74,"img/line/area/s0.2m0.2/",0
"776",0.15,"quad",0.1,"P8","area",0.01,0.01,75,"img/quad/area/s0.15m0.1/",0
"777",0.02,"line",0.8,"P8","area",0,0,76,"img_validation/line/area/s0.2m0.8/",1
"778",0.2,"trig",-0.4,"P8","area",0.02,0.02,77,"img/trig/area/s0.2m-0.4/",0
"779",0.1,"line",0.8,"P8","line",0.02,0.02,78,"img/line/line/s0.1m0.8/",0
"780",0.15,"trig",0.1,"P8","scatter",0.19,0.19,79,"img/trig/scatter/s0.15m0.1/",0
"781",0.2,"quad",0.1,"P8","scatter",0.1,0.1,80,"img/quad/scatter/s0.2m0.1/",0
"782",0.2,"line",-0.1,"P8","scatter",-0.05,0.05,81,"img/line/scatter/s0.2m-0.1/",0
"783",0.05,"quad",-0.2,"P8","scatter",0.02,0.02,82,"img/quad/scatter/s0.05m-0.2/",0
"784",0.15,"trig",-0.1,"P8","line",-0.03,0.03,83,"img/trig/line/s0.15m-0.1/",0
"785",0.05,"line",0.4,"P8","line",0.05,0.05,84,"img/line/line/s0.05m0.4/",0
"786",0.15,"trig",-0.2,"P8","area",-0.04,0.04,85,"img/trig/area/s0.15m-0.2/",0
"787",0.05,"quad",-0.2,"P8","line",0.02,0.02,86,"img/quad/line/s0.05m-0.2/",0
"788",0.05,"line",0.4,"P8","scatter",-0.01,0.01,87,"img/line/scatter/s0.05m0.4/",0
"789",0.15,"quad",-0.1,"P8","scatter",-0.16,0.16,88,"img/quad/scatter/s0.15m-0.1/",0
"790",0.15,"trig",0.8,"P8","line",0.03,0.03,89,"img/trig/line/s0.15m0.8/",0
